time,cpu_usage,memory_usage,gpu_usage,gpu_memory_usage
2024-01-17 17:42:37,50.8,69.0,0.08,0.3076171875
2024-01-17 17:42:42,50.8,69.0,0.08,0.3076171875
2024-01-17 17:42:47,50.7,69.0,0.08,0.3076171875
2024-01-17 17:42:52,50.7,69.1,0.08,0.3076171875
2024-01-17 17:42:57,50.6,69.1,0.08,0.3076171875
2024-01-17 17:43:02,51.0,69.1,0.08,0.3076171875
2024-01-17 17:43:07,51.1,69.1,0.08,0.3076171875
2024-01-17 17:43:12,51.5,69.2,0.08,0.3076171875
2024-01-17 17:43:17,15.2,69.2,0.08,0.3076171875
2024-01-17 17:43:22,0.3,69.2,0.08,0.3076171875
2024-01-17 17:43:27,0.3,69.2,0.08,0.3076171875
2024-01-17 17:43:32,0.3,69.2,0.08,0.3076171875
2024-01-17 17:43:37,0.4,69.2,0.08,0.3076171875
2024-01-17 17:43:42,0.2,69.2,0.08,0.3076171875
2024-01-17 17:43:47,0.4,68.9,0.08,0.3076171875
2024-01-17 17:43:52,0.2,68.9,0.08,0.3076171875
2024-01-17 17:43:57,0.4,68.9,0.08,0.3076171875
2024-01-17 17:44:02,0.3,68.9,0.08,0.3076171875
2024-01-17 17:44:07,0.3,68.9,0.08,0.3076171875
2024-01-17 17:44:12,10.8,68.9,0.08,0.3076171875
2024-01-17 17:44:17,50.9,68.9,0.08,0.3076171875
2024-01-17 17:44:22,51.0,68.9,0.08,0.3076171875
2024-01-17 17:44:27,50.8,68.9,0.08,0.3076171875
2024-01-17 17:44:32,51.1,68.9,0.08,0.3076171875
2024-01-17 17:44:37,51.0,68.9,0.08,0.3076171875
2024-01-17 17:44:42,50.8,68.9,0.08,0.3076171875
2024-01-17 17:44:47,51.1,68.9,0.08,0.3076171875
2024-01-17 17:44:52,50.7,69.0,0.08,0.3076171875
2024-01-17 17:44:57,51.1,68.9,0.08,0.3076171875
2024-01-17 17:45:02,50.6,68.9,0.08,0.3076171875
2024-01-17 17:45:07,50.7,68.9,0.08,0.3076171875
2024-01-17 17:45:12,50.8,68.9,0.08,0.3076171875
2024-01-17 17:45:17,50.8,68.9,0.08,0.3076171875
2024-01-17 17:45:22,50.7,68.9,0.08,0.3076171875
